company name,company website,article title,article url
n/a,n/a,3 habits of successful language learners,https://techcrunch.com/2017/03/05/3-habits-of-successful-language-learners/
n/a,n/a,Why we’re ditching Demo Days,https://techcrunch.com/2017/03/04/why-were-ditching-demo-days/
Facebook,http://www.facebook.com,Facebook tests reactions and Dislike button (!) on messages,https://techcrunch.com/2017/03/04/facebook-messenger-dislike-button/
Messenger,https://www.messenger.com/,Facebook tests reactions and Dislike button (!) on messages,https://techcrunch.com/2017/03/04/facebook-messenger-dislike-button/
Slack,http://slack.com,Facebook tests reactions and Dislike button (!) on messages,https://techcrunch.com/2017/03/04/facebook-messenger-dislike-button/
Amazon,http://amazon.com,"Amazon shuts down its cable store, probably because ISPs are awful",https://techcrunch.com/2017/03/03/amazon-shuts-down-its-cable-store-probably-because-isps-are-awful/
n/a,n/a,Why newspaper subscriptions are on the rise,https://techcrunch.com/2017/03/04/why-newspaper-subscriptions-are-on-the-rise/
Stanford University,http://www.stanford.edu/,Stanford student launches on-demand startup for ’emergency’ items like deodorant and hangover cures,https://techcrunch.com/2017/03/04/stanford-student-launches-on-demand-startup-for-emergency-items-like-deodorant-and-hangover-cures/
n/a,n/a,Meet the tiny phone company that’s making modularity sustainable,https://techcrunch.com/2017/03/04/meet-the-tiny-phone-company-thats-making-modularity-sustainable/
Amazon Web Services,http://aws.amazon.com,"Amazon shuts down its cable store, probably because ISPs are awful",https://techcrunch.com/2017/03/03/amazon-shuts-down-its-cable-store-probably-because-isps-are-awful/
Amazon Echo,http://www.amazon.com/oc/echo/,"Amazon shuts down its cable store, probably because ISPs are awful",https://techcrunch.com/2017/03/03/amazon-shuts-down-its-cable-store-probably-because-isps-are-awful/
Comcast,http://corporate.comcast.com,"Amazon shuts down its cable store, probably because ISPs are awful",https://techcrunch.com/2017/03/03/amazon-shuts-down-its-cable-store-probably-because-isps-are-awful/
Yelp,http://yelp.com,"For trans people in tech, it’s complicated when the industry suddenly cares",https://techcrunch.com/2017/03/04/for-trans-people-in-tech-its-complicated/
Uber,http://www.uber.com,Researcher finds bug that allowed free Uber rides,https://techcrunch.com/2017/03/04/researcher-finds-bug-that-allows-free-uber-rides/
Frontier,http://frontiernordic.com,"Amazon shuts down its cable store, probably because ISPs are awful",https://techcrunch.com/2017/03/03/amazon-shuts-down-its-cable-store-probably-because-isps-are-awful/
Uber,http://www.uber.com,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
n/a,n/a,In the new age of ubiquitous connectivity the message is the medium,https://techcrunch.com/2017/03/04/in-the-new-age-of-ubiquitous-connectivity-the-message-is-the-medium/
n/a,n/a,Mixed reality arcades are the next big market opportunity — but not for VCs,https://techcrunch.com/2017/03/03/mixed-reality-arcades-are-the-next-big-market-opportunity-but-not-for-vcs/
n/a,n/a,"As Snap ascended, these rival apps faltered",https://techcrunch.com/2017/03/04/as-snap-ascended-these-rival-apps-faltered/
Snap Inc.,https://www.snap.com,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
SNAP,http://www.snapforbusiness.com,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
Amazon,http://amazon.com,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
n/a,n/a,Hollywood producers and executives: what do they know? Do they know things? Let’s find out!,https://techcrunch.com/2017/03/05/hollywood-producers-and-executives-what-do-they-know-do-they-know-things-lets-find-out/
Amazon Web Services,http://aws.amazon.com,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
Amazon Echo,http://www.amazon.com/oc/echo/,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
TechCrunch,https://techcrunch.com/,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
NBC Universal,http://www.nbcuni.com,Crunch Report | NBCUniversal Invests $500 Million in Snap,https://techcrunch.com/2017/03/03/crunch-report-nbcuniversal-invests-500-million-in-snap/
WordPress,http://wordpress.org,How hackers turned a Cape Cod fishing guide’s site into a host for e-commerce fraud,https://techcrunch.com/2017/03/03/woe-are-the-great-fish-of-cape-cod/
Uber,http://www.uber.com,Uber’s VP of product and growth has left the company,https://techcrunch.com/2017/03/03/ubers-vp-of-product-and-growth-has-left-the-company/
n/a,n/a,Secure messaging startup Symphony looks to expand the industries playing in its orchestra,https://techcrunch.com/2017/03/05/secure-messaging-startup-symphony-looks-to-expand-the-industries-playing-in-its-orchestra/
n/a,n/a,"Fresh with cash, Anand Sharma’s Gyroscope is building the backend to the journey of you",https://techcrunch.com/2017/03/05/fresh-with-cash-anand-sharmas-gyroscope-is-building-the-backend-to-the-journey-of-you/
Prisma,http://prisma-ai.com/,Trying out Prisma’s new photo filter store,https://techcrunch.com/2017/03/05/prisma-styles-store/
n/a,n/a,Doug never has to buy Drano again,https://techcrunch.com/video/doug-never-has-to-buy-drano-again-2/58b9ec25cebcea57e2cb79cf/
